code,vw,gm_uA_per_V,w_eff_vs_zero
1.030000000000000000e+02,7.246399999999999508e-01,1.298158650000000414e+01,-2.259905599999997605e+01
1.040000000000000000e+02,7.316599999999999770e-01,1.406054750000000553e+01,-2.152009499999997644e+01
1.050000000000000000e+02,7.386800000000000033e-01,1.524269350000000145e+01,-2.033794899999998051e+01
1.060000000000000000e+02,7.457000000000000295e-01,1.653310800000000569e+01,-1.904753449999997628e+01
1.070000000000000000e+02,7.527200000000000557e-01,1.793450400000000400e+01,-1.764613849999997797e+01
1.080000000000000000e+02,7.597400000000000819e-01,1.944608650000000338e+01,-1.613455599999997858e+01
1.090000000000000000e+02,7.667599999999999971e-01,2.106242949999998970e+01,-1.451821299999999226e+01
1.100000000000000000e+02,7.737800000000000233e-01,2.277223750000000280e+01,-1.280840499999997917e+01
1.110000000000000000e+02,7.807999999999999385e-01,2.455891650000000226e+01,-1.102172599999997971e+01
1.120000000000000000e+02,7.878199999999999648e-01,2.640056900000001150e+01,-9.180073499999970466e+00
1.130000000000000000e+02,7.948399999999999910e-01,2.827203350000000270e+01,-7.308608999999979261e+00
1.140000000000000000e+02,8.018600000000000172e-01,3.014811350000000800e+01,-5.432528999999973962e+00
1.150000000000000000e+02,8.088800000000000434e-01,3.200445849999999837e+01,-3.576183999999983598e+00
1.160000000000000000e+02,8.159000000000000696e-01,3.382061300000000159e+01,-1.760029499999980374e+00
1.170000000000000000e+02,8.229199999999999848e-01,3.558064249999998196e+01,0.000000000000000000e+00
1.180000000000000000e+02,8.299400000000000110e-01,3.727303400000000977e+01,1.692391500000027804e+00
1.190000000000000000e+02,8.369600000000000373e-01,3.889066049999998853e+01,3.310018000000006566e+00
1.200000000000000000e+02,8.439799999999999525e-01,4.042953349999999091e+01,4.848891000000008944e+00
1.210000000000000000e+02,8.509999999999999787e-01,4.188886699999999763e+01,6.308224500000015667e+00
1.220000000000000000e+02,8.580200000000000049e-01,4.326879399999998554e+01,7.688151500000003580e+00
1.230000000000000000e+02,8.650400000000000311e-01,4.457170150000000319e+01,8.991059000000021229e+00
1.240000000000000000e+02,8.720600000000000573e-01,4.580041199999998014e+01,1.021976949999999817e+01
1.250000000000000000e+02,8.790800000000000836e-01,4.695833150000000700e+01,1.137768900000002503e+01
1.260000000000000000e+02,8.860999999999999988e-01,4.804917500000001240e+01,1.246853250000003044e+01
1.270000000000000000e+02,8.931200000000000250e-01,4.907666599999998880e+01,1.349602350000000683e+01
1.280000000000000000e+02,9.001399999999999402e-01,5.004475800000000874e+01,1.446411550000002677e+01
1.290000000000000000e+02,9.071599999999999664e-01,5.095695699999997430e+01,1.537631449999999234e+01
1.300000000000000000e+02,9.141799999999999926e-01,5.181678599999998625e+01,1.623614350000000428e+01
1.310000000000000000e+02,9.212000000000000188e-01,5.262788699999999409e+01,1.704724450000001212e+01
1.320000000000000000e+02,9.282200000000000450e-01,5.339316450000001169e+01,1.781252200000002972e+01
1.330000000000000000e+02,9.352400000000000713e-01,5.411567400000001982e+01,1.853503150000003785e+01
1.340000000000000000e+02,9.422599999999999865e-01,5.479827949999999248e+01,1.921763700000001052e+01
1.350000000000000000e+02,9.492800000000000127e-01,5.544345300000000520e+01,1.986281050000002324e+01
1.360000000000000000e+02,9.563000000000000389e-01,5.605384300000002895e+01,2.047320050000004699e+01
1.370000000000000000e+02,9.633199999999999541e-01,5.663150350000000799e+01,2.105086100000002602e+01
1.380000000000000000e+02,9.703399999999999803e-01,5.717859199999998054e+01,2.159794949999999858e+01
1.390000000000000000e+02,9.773600000000000065e-01,5.769704600000001449e+01,2.211640350000003252e+01
1.400000000000000000e+02,9.843800000000000328e-01,5.818867149999999810e+01,2.260802900000001614e+01
1.410000000000000000e+02,9.914000000000000590e-01,5.865513050000000561e+01,2.307448800000002365e+01
1.420000000000000000e+02,9.984200000000000852e-01,5.909816249999999371e+01,2.351752000000001175e+01
1.430000000000000000e+02,1.005440000000000111e+00,5.951883850000000820e+01,2.393819600000002623e+01
1.440000000000000000e+02,1.012459999999999916e+00,5.991870550000000151e+01,2.433806300000001954e+01
1.450000000000000000e+02,1.019480000000000164e+00,6.029898199999998809e+01,2.471833950000000613e+01
1.460000000000000000e+02,1.026499999999999968e+00,6.066082149999999729e+01,2.508017900000001532e+01
1.470000000000000000e+02,1.033519999999999994e+00,6.100528749999999434e+01,2.542464500000001237e+01
1.480000000000000000e+02,1.040540000000000020e+00,6.133337599999997991e+01,2.575273349999999795e+01
1.490000000000000000e+02,1.047560000000000047e+00,6.164603999999999928e+01,2.606539750000001732e+01
1.500000000000000000e+02,1.054580000000000073e+00,6.194413349999999951e+01,2.636349100000001755e+01
1.510000000000000000e+02,1.061599999999999877e+00,6.222846249999999912e+01,2.664782000000001716e+01
1.520000000000000000e+02,1.068620000000000125e+00,6.249984550000000638e+01,2.691920300000002442e+01
1.530000000000000000e+02,1.075639999999999930e+00,6.275886350000000391e+01,2.717822100000002195e+01
1.540000000000000000e+02,1.082660000000000178e+00,6.300623050000000092e+01,2.742558800000001895e+01
1.550000000000000000e+02,1.089679999999999982e+00,6.324256099999999492e+01,2.766191850000001295e+01
1.560000000000000000e+02,1.096700000000000008e+00,6.346843250000000580e+01,2.788779000000002384e+01
1.570000000000000000e+02,1.103720000000000034e+00,6.368438499999999181e+01,2.810374250000000984e+01
1.580000000000000000e+02,1.110740000000000061e+00,6.389092399999999117e+01,2.831028150000000920e+01
1.590000000000000000e+02,1.117760000000000087e+00,6.408852550000000292e+01,2.850788300000002096e+01
1.600000000000000000e+02,1.124779999999999891e+00,6.427763599999997268e+01,2.869699349999999072e+01
1.610000000000000000e+02,1.131800000000000139e+00,6.445867449999998655e+01,2.887803200000000459e+01
1.620000000000000000e+02,1.138819999999999943e+00,6.463203250000000821e+01,2.905139000000002625e+01
1.630000000000000000e+02,1.145839999999999970e+00,6.479809400000002029e+01,2.921745150000003832e+01
1.640000000000000000e+02,1.152859999999999996e+00,6.495719599999998195e+01,2.937655349999999999e+01
1.650000000000000000e+02,1.159880000000000022e+00,6.510967300000001501e+01,2.952903050000003304e+01
1.660000000000000000e+02,1.166900000000000048e+00,6.525583599999998796e+01,2.967519350000000600e+01
1.670000000000000000e+02,1.173920000000000075e+00,6.539597950000000992e+01,2.981533700000002796e+01
1.680000000000000000e+02,1.180940000000000101e+00,6.553038050000000680e+01,2.994973800000002484e+01
1.690000000000000000e+02,1.187959999999999905e+00,6.565930250000000967e+01,3.007866000000002771e+01
1.700000000000000000e+02,1.194980000000000153e+00,6.578299199999997882e+01,3.020234949999999685e+01
1.710000000000000000e+02,1.201999999999999957e+00,6.590168600000001220e+01,3.032104350000003024e+01
1.720000000000000000e+02,1.209019999999999984e+00,6.601560499999997944e+01,3.043496249999999748e+01
1.730000000000000000e+02,1.216040000000000010e+00,6.612496150000001194e+01,3.054431900000002997e+01
1.740000000000000000e+02,1.223060000000000036e+00,6.622995400000002064e+01,3.064931150000003868e+01
1.750000000000000000e+02,1.230080000000000062e+00,6.633077299999999354e+01,3.075013050000001158e+01
1.760000000000000000e+02,1.237099999999999866e+00,6.642759899999998652e+01,3.084695650000000455e+01
1.770000000000000000e+02,1.244120000000000115e+00,6.652060149999996952e+01,3.093995899999998755e+01
1.780000000000000000e+02,1.251139999999999919e+00,6.660994400000001292e+01,3.102930150000003096e+01
1.790000000000000000e+02,1.258160000000000167e+00,6.669582550000001220e+01,3.111518300000003023e+01
1.800000000000000000e+02,1.265179999999999971e+00,6.677825799999999390e+01,3.119761550000001193e+01
1.810000000000000000e+02,1.272199999999999998e+00,6.685751600000000394e+01,3.127687350000002198e+01
1.820000000000000000e+02,1.279220000000000024e+00,6.693368849999998815e+01,3.135304600000000619e+01
1.830000000000000000e+02,1.286240000000000050e+00,6.700690100000001337e+01,3.142625850000003140e+01
1.840000000000000000e+02,1.293260000000000076e+00,6.707727500000001442e+01,3.149663250000003245e+01
1.850000000000000000e+02,1.300279999999999880e+00,6.714492500000000064e+01,3.156428250000001867e+01
1.860000000000000000e+02,1.307300000000000129e+00,6.720996250000001737e+01,3.162932000000003541e+01
1.870000000000000000e+02,1.314319999999999933e+00,6.727249000000000478e+01,3.169184750000002282e+01
1.880000000000000000e+02,1.321340000000000181e+00,6.733260900000000504e+01,3.175196650000002307e+01
1.890000000000000000e+02,1.328359999999999985e+00,6.739040800000000786e+01,3.180976550000002590e+01
1.900000000000000000e+02,1.335380000000000011e+00,6.744599200000000394e+01,3.186534950000002198e+01
1.910000000000000000e+02,1.342400000000000038e+00,6.749944000000002120e+01,3.191879750000003924e+01
1.920000000000000000e+02,1.349420000000000064e+00,6.755084200000000294e+01,3.197019950000002098e+01
